id;reference-date;status;status-prev;status-after;counterparty-type;economic-sector-code;geographic-area;balance;limit-balance
331;2019-01-01;1;0;0;retail-type-2;5928;west-coast;68.05; -   
332;2019-01-01;1;0;0;retail-type-2;5928;south;16.00; -   
333;2019-01-01;1;0;0;small-enterprise;6078;west-coast; 2.001.84 ; 2.000.00 
334;2019-01-01;1;0;0;retail-type-2;5928;east-coast;26.97; -   
335;2019-01-01;1;0;0;retail-type-2;5928;west-coast;81.40; -   
336;2019-01-01;1;0;0;retail-type-2;5928;west-coast;44.30; -   
337;2019-01-01;1;0;0;retail-type-2;5928;north-est;57.52; -   
338;2019-01-01;1;0;0;retail-type-2;5928;south;66.67; -   
339;2019-01-01;1;0;0;retail-type-2;5928;west-coast;24.93; -   
340;2019-01-01;1;0;0;retail-type-2;5928;north-est;33.05; -   
341;2019-01-01;1;0;0;retail-type-2;5928;south;14.69; -   
342;2019-01-01;1;0;0;retail-type-2;5928;south;19.42; -   
343;2019-01-01;1;0;0;corporate-type-2;6068;south;66.28; -   
344;2019-01-01;1;0;0;retail-type-2;5928;south;6.90; -   
345;2019-01-01;1;0;0;retail-type-2;7658;missing;56.74; -   
346;2019-01-01;1;0;0;retail-type-2;5928;mid-west;82.35; -   
347;2019-01-01;1;0;0;retail-type-2;5928;east-coast;15.59; -   
348;2019-01-01;1;0;0;small-enterprise;6078;south; 2.634.78 ; 2.552.26 
349;2019-01-01;1;0;0;retail-type-2;5928;west-coast;56.65; -   
350;2019-01-01;1;0;0;retail-type-2;5928;south;21.29; -   
351;2019-01-01;1;0;0;corporate-type-2;4228;east-coast;75.34; -   
352;2019-01-01;1;0;0;corporate-type-2;6078;west-coast;11.06; -   
353;2019-01-01;1;0;0;retail-type-2;5928;north-west;29.10; -   
354;2019-01-01;1;0;0;retail-type-2;5928;north-est;5.00; -   
355;2019-01-01;1;0;0;retail-type-2;5928;north-est;6.97; -   
356;2019-01-01;1;0;0;corporate-type-2;4228;south;150.64; -   
357;2019-01-01;1;0;0;corporate-type-2;4228;north-west;277.20; -   
358;2019-01-01;1;0;0;small-enterprise;6078;west-coast; 67.883.24 ; 70.000.00 
359;2019-01-01;1;0;0;retail-loan;5928;east-coast; 52.776.28 ; 2.400.00 
360;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;111.20; -   
361;2019-01-01;1;0;0;retail-type-2;7658;missing;14.93; -   
362;2019-01-01;10000;0;0;retail-loan;5928;mid-west; 122.859.51 ; 121.990.53 
363;2019-01-01;1;0;0;retail-type-2;5928;west-coast;8.00; -   
364;2019-01-01;1;0;0;retail-type-2;5928;west-coast;3.77; -   
365;2019-01-01;1;0;0;retail-type-2;5928;north-west;3.86; -   
366;2019-01-01;1;0;0;corporate-type-2;6078;north-est;67.03; -   
367;2019-01-01;1;0;0;retail-type-2;5928;north-west;88.30; -   
368;2019-01-01;1;0;0;corporate-type-2;4228;south;257.06; -   
369;2019-01-01;1;0;0;retail-type-2;5928;north-est;12.79; -   
370;2019-01-01;2;0;0;retail-loan;5928;south; 88.372.03 ; 83.942.01 
